Feature,PC1,PC2
age,-0.0027868981732653876,-0.004858602859172064
gender,-0.0005769892102312657,-0.00024695308775874944
bmi,-0.0015344190485374752,-0.0030385721967171866
children,-0.00027578697467904475,-0.00887061679508856
smoker,0.003597621102731958,-0.0006636680184492296
region_southwest,-0.014654355854759299,0.13133004861250716
region_northwest,0.004415114574028238,0.29122263959188194
region_southeast,0.009605227149328065,-0.42370999166200396
medical_history_Heart_disease,-0.005221159535051496,-0.22972432005603155
medical_history_High_blood_pressure,-0.013201425104494388,0.19225604996227252
medical_history_Diabetes,0.017432064356970547,0.034353050792596034
family_medical_history_Heart_disease,0.016705914002843703,-0.26155488368241997
family_medical_history_High_blood_pressure,-0.016728165940731645,0.04092296176721536
family_medical_history_Diabetes,0.0024194804088798843,0.21825510706579587
exercise_frequency_Occasionally,-0.004310330566417755,0.27800283300225714
exercise_frequency_Frequently,0.008277555006487441,0.04959065809270209
exercise_frequency_Never,-0.0024077294910420477,-0.32648809956805935
occupation_Student,0.003141280573576425,-0.35049696725330254
occupation_Blue_collar,0.02508332076719326,-0.08604700963723169
occupation_White_collar,-0.030472950261339244,0.438590433714429
coverage_level_Standard,0.706064702345593,0.01811250123004785
coverage_level_Premium,-0.7059687924419357,-0.019538541300132092
